Subset,Outcome,Lag,N (obs),R2_within,coef_ESG,p_ESG,status
Full Period,ROA,0,1891,0.07459636798813074,-0.05318884136864268,0.12223703196153068,ok
Full Period,ROA,1,1847,0.12072705228974911,-0.09058324663207391,0.00292091800569394,ok
Full Period,ROA,2,1603,0.09986053346448143,-0.1041424774092809,0.0008458638649169181,ok
Full Period,ROA,3,1395,0.11090057196803116,-0.10334613173660105,0.0010997013447038295,ok
Full Period,NIAT,0,1897,0.012516202132706322,-8073486.897663517,0.6268416126779126,ok
Full Period,NIAT,1,1852,0.00894148079132051,-19409832.606752828,0.09429558829883478,ok
Full Period,NIAT,2,1608,0.013961887688174413,-3165187.2786794784,0.882472221609224,ok
Full Period,NIAT,3,1400,0.013430210120766284,-6637067.319234855,0.7839970519898771,ok
COVID,ROA,0,366,0.06253876910736356,-0.023228350352173167,0.8561775357337456,ok
COVID,ROA,1,0,,,,no_estimable_panel
COVID,ROA,2,0,,,,no_estimable_panel
COVID,ROA,3,0,,,,no_estimable_panel
COVID,NIAT,0,366,0.03564538177733512,115263414.87937906,0.5749118148641932,ok
COVID,NIAT,1,0,,,,no_estimable_panel
COVID,NIAT,2,0,,,,no_estimable_panel
COVID,NIAT,3,0,,,,no_estimable_panel
Hotels Only,ROA,0,302,0.033389234766480036,0.022897806124601294,0.7699662259169027,ok
Hotels Only,ROA,1,292,0.03401969374718927,0.014303604201869836,0.8157486065952946,ok
Hotels Only,ROA,2,250,0.0006506061289232035,0.06837497267280686,0.25967748918364775,ok
Hotels Only,ROA,3,219,-0.02226430347926467,0.0707252697689158,0.3040580777266171,ok
Hotels Only,NIAT,0,302,0.0067532446432405635,-22599988.952599768,0.4357720514164585,ok
Hotels Only,NIAT,1,292,0.00031544048988330076,-18651680.162393466,0.6069136553949457,ok
Hotels Only,NIAT,2,250,-0.019419386543890527,-47867943.1853817,0.3051138230169461,ok
Hotels Only,NIAT,3,219,-0.01959988248169675,-53183171.16763396,0.2921741159356128,ok
Non-COVID,ROA,0,1485,0.05001287989721315,-0.09056964205470802,0.01066884672845747,ok
Non-COVID,ROA,1,1444,0.06271445571862588,-0.09522742209990066,0.0011544759727588616,ok
Non-COVID,ROA,2,1171,0.05421992174421386,-0.10737880228350657,0.0012471591185883035,ok
Non-COVID,ROA,3,998,0.08216920613004597,-0.10798490956276766,0.0024872244113953723,ok
Non-COVID,NIAT,0,1491,0.0038880880266631834,-9237609.531951593,0.6453973943817854,ok
Non-COVID,NIAT,1,1449,0.0009159680475119281,-9098202.312360179,0.47299139945624624,ok
Non-COVID,NIAT,2,1176,0.0018565901790085215,-9021431.921309717,0.5875496898556412,ok
Non-COVID,NIAT,3,1003,-0.008792097208942584,-35709890.47019496,0.07795969184967388,ok
Hotels Only,ROA,0,302,0.033389234766480036,0.022897806124601294,0.7699662259169027,ok
Hotels Only,ROA,1,292,0.03401969374718927,0.014303604201869836,0.8157486065952946,ok
Hotels Only,ROA,2,250,0.0006506061289232035,0.06837497267280686,0.25967748918364775,ok
Hotels Only,ROA,3,219,-0.02226430347926467,0.0707252697689158,0.3040580777266171,ok
Hotels Only,NIAT,0,302,0.0067532446432405635,-22599988.952599768,0.4357720514164585,ok
Hotels Only,NIAT,1,292,0.00031544048988330076,-18651680.162393466,0.6069136553949457,ok
Hotels Only,NIAT,2,250,-0.019419386543890527,-47867943.1853817,0.3051138230169461,ok
Hotels Only,NIAT,3,219,-0.01959988248169675,-53183171.16763396,0.2921741159356128,ok
